Remittance inflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023e,% of GDP in 2023
Azerbaijan,57.132,104.125,163.317,155.95700000000002,203.578,623.235,790.2139999999999,1267.7350000000001,1518.327,1254.645,1410.296,1893.0800000000002,1990.18,1733.2,1846.424,1269.9640000000002,643.1479999999999,1133.371,1225.79,1275.168754822157,1403.087,1526.636,3950.029,2800.0,3.61794500723589
"Bahamas, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.805711,53.0406,57.888,55.0,0.3963678293456328
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh ,1967.528858467927,2104.551469141763,2858.05777042652,3191.6647320559346,3583.817227523728,4314.5,5427.5154287338,6562.316321908495,8940.611606376919,10520.653005638856,10850.211617305626,12071.07318415758,14119.627033985384,13866.954019396753,14987.531478742734,15295.536094835123,13574.285886247324,13501.93303270963,15566.241930307808,18363.8595312812,21751.64647919351,22205.50337711999,21503.993718213896,23000.0,5.15695067264574
Barbados,113.2,129.95,125.061,130.5,129.108571515,94.4554238,87.34842295,138.674184035,101.160650815,114.47608954,81.86879619,147.2932661916,152.31984244233348,190.9816329798335,188.71696099383348,198.0382948344835,157.5090399835,85.1758925,85.1758925,85.1758925,85.1758925,85.1758925,85.1758925,85.1758925,1.3693873392282958
Belarus,114.19999999999999,67.19999999999999,80.6,164.10000000000002,239.39999999999998,198.6,268.2,288.29999999999995,583.3,503.79999999999995,575.3,890.6,1053.1,1213.5,1231.3,931.5,976.5999999999999,1253.8,1445.8,1418.8,1013.6999999999999,1149.96067408,1465.139529,1550.0,2.2508131970260226
Belgium,0.0,0.0,4534.638939109968,5778.136096270974,6562.530149386719,6884.305723770453,7268.884910039385,8991.846090584593,10479.0,11090.651436729006,10993.669270274135,11728.548904613026,11171.452382413087,11695.085497992883,12161.003266042055,10464.912315381158,10786.36068227289,11435.497317078998,12448.56909107144,12330.095211525831,12850.49977262427,13708.875824170267,13437.737945630453,13185.2734375,2.0995658339968153
Belize,24.868381,28.397885212474147,26.836163721113202,32.15107973139145,33.650128540845145,44.69332284460195,63.81195078706254,73.1192631866794,76.4890033131695,78.5784016029387,78.1345695922123,75.4,75.94564668826251,74.40171037020467,80.33441762386191,84.74407453778171,96.67100668130635,90.21451629712242,92.51273878403455,96.81675011848655,120.68361941789641,135.359896997178,142.41685272081,151.02796936035156,4.693224653833174
Benin,85.87625311522767,83.06416112425872,76.10781801963552,55.40117708756022,63.11701027017162,146.93934793307628,195.67378614039177,240.7937333936339,207.86320938934466,126.45722233888812,139.56912048605167,172.10000000000002,207.76355518599638,248.80053368245632,304.659173440494,214.44957945289048,221.726214973562,195.77683387076587,198.7423960147997,216.99314518350224,204.62391654563245,230.91433308778034,230.70559091425332,233.24964904785156,1.1697575177926358
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.9330393767019642,3.5489308048492245,4.8667011684504615,8.273480864605165,10.46053400472438,18.144730430834205,11.804283706037378,14.292342890486355,19.65650791921583,34.343456661168055,43.153828425576755,58.14851579928046,56.658762938509085,83.43518258666549,73.36726839470805,88.0846800334456,75.0,2.7922561429635144
