Remittance outflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,75.1,60.50340367935418,61.007916244212,47.650215211313395,70.77976566615138,92.28327404902461,73.7651823259175,57.949829288899195,52.11952197263568,54.95872117178325,52.526250439501126,52.58943824174649,57.52418942220531,64.99091575253742,47.98051479725062,27.4654623391006,33.67363691018957,1.2692663743003985
Bolivia,37.0,36.38,37.88,45.781410246114504,50.586782926162854,66.71982004045,73.240336466,78.912289447,105.88344960071571,103.47,101.7840717,117.2585635394641,147.11267228584856,172.15881423779308,180.10000000000002,210.1757435214052,222.25046434047852,232.927804367505,251.81564331512732,275.4215737365872,215.67993157125693,293.7313824572382,319.3064308930044,0.7205380365406846
Bosnia and Herzegovina,2.350912046756796,10.807341191996077,14.009275681038833,20.02161401881888,62.06734078384741,39.99345004642741,54.51013098795343,65.4,55.292739197482604,55.05585186908742,46.440159072517275,51.68011414310264,46.846961264849696,48.445049036559936,46.84704515745104,55.544289464584956,60.51250294275377,63.649593431100286,83.62891250317269,84.37379955669876,96.76034448399824,105.82753681540801,103.48445587604262,0.42204101091371377
Botswana,133.94112718429307,129.09197255232027,129.6161509742076,185.58891777224042,99.20036927884108,107.03290174427127,97.41008181397186,98.64607420096134,57.5615679031087,59.50369164933872,99.80000000000001,122.3114870091032,124.13050902489894,97.48926438696316,105.39685746498583,94.7421117026077,80.44798079588482,81.24653489425,63.43891056939022,99.40376084786875,182.22886857086155,242.6741481263512,209.80834636614196,1.0308979282927573
Brazil,338.325,344.83299999999997,329.421,295.98,339.49300000000005,373.953,529.306,562.634,813.083,730.8960999999999,1023.6999999999999,1123.8171215799998,1063.6708867900002,1150.18900834,1538.77589725,1339.08689017,1385.07600647,2238.14084416,2253.24743004,2231.58319817,1607.7873522099999,1755.08176344,2238.38317235,0.11658106034927707
Brunei Darussalam,0.0,0.0,89.2257320647701,96.97567354830451,353.78165980078955,375.5746789328789,405.46649367827877,430.2853466496893,420.3601590495743,444.81743855759265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.149953862664402,10.418163014293913,10.442679722374086,0.06259848772553703
Bulgaria,25.957718796530465,26.957168672357803,14.49271600146842,12.586214157214389,29.436635345077697,35.45228532738008,49.57745277195734,102.60542173924648,161.81095199894736,101.24992856739439,90.39999999999999,104.54,107.09,161.95000000000002,169.06,114.85000000000001,126.53,163.04,195.08,204.57,189.12,157.23000000000002,188.04000000000002,0.21100824776973576
Cabo Verde,0.4793936450076878,0.28277006350795303,1.5214387717339277,7.190099313633577,11.977563116553824,5.170967048750809,5.7184823263439775,6.022910782385461,10.00757950398209,11.724051281500973,7.962675691116592,8.626301031678727,9.9,9.84711392319058,11.394438809534496,14.207581324919484,36.46083090825147,44.233167234770036,40.25257867945817,37.19780389324299,37.059989298664085,35.34771394786407,30.250252863623743,1.310669534819053
Cambodia,59.6179,52.34645,69.65603999999999,56.19808,56.24679,128.4905,120.2405,118.3965,170.6275,159.28713188463635,163.0,192.43681910118642,265.124288352564,297.25564481540096,359.610112126491,314.34083523897505,356.8574920121965,324.477385964618,309.8026267557384,279.02493988337596,226.4590746516703,259.2441487658358,302.33622590368356,1.0491228603778318
Cameroon,30.05471733677426,41.76214682469285,55.8387796577531,56.8640220006648,42.24614694144047,56.198255161085825,91.75277343950708,89.6823569736026,56.57622792800255,130.4696110016787,54.23264182459131,80.71747677135232,72.90086753733476,65.13064284014094,82.22662742090873,75.60743495524477,81.19999999999999,83.59286367821878,88.88795741668862,86.39625625509686,101.57811243727491,40.311259134872564,32.27896293851086,0.07282830860184752
Canada,1696.6222594351043,1774.974003288466,1970.679764058526,2242.154647119838,2610.530518919897,3261.615579717144,3286.690324299493,4567.0222410890565,4859.141896898049,4662.098288991501,5290.453957417123,5557.756827741734,5629.382995173408,5702.499908425154,5948.213016806358,5114.157603633637,5255.722464641915,6482.765219330161,7578.422449323885,8763.218444024726,7458.003424316359,8077.519278230477,8328.009711610553,0.3895344867936154
Chile,15.6,15.7,15.9,3.5,3.600001632160229,3.199999162899985,3.199999841220233,3.200000504991294,3.1999997251396053,103.9398620000006,148.78898899998413,177.0894709999824,237.6274829999823,310.1046159999894,304.4349329999779,386.47676899998214,345.5940935428733,492.037287263703,623.8662997138281,722.743058630458,615.580366397797,636.974680335048,675.62154936892,0.22466125627023667
